x: -0.25, y: -0.06, b: 0.050000 
x: -0.25, y: -0.04, b: 0.050000 
x: -0.25, y: -0.02, b: 0.050000 
x: -0.25, y: 0.00, b: 0.050000 
x: -0.25, y: 0.02, b: 0.050000 
x: -0.25, y: 0.04, b: 0.050000 
x: -0.25, y: 0.06, b: 0.050000 
x: -0.24, y: -0.08, b: 0.050000 
x: -0.24, y: -0.06, b: 0.050000 
x: -0.24, y: -0.04, b: 0.050000 
x: -0.24, y: -0.02, b: 0.050000 
x: -0.24, y: 0.00, b: 0.050000 
x: -0.24, y: 0.02, b: 0.050000 
x: -0.24, y: 0.04, b: 0.050000 
x: -0.24, y: 0.06, b: 0.050000 
x: -0.24, y: 0.08, b: 0.050000 
x: -0.23, y: -0.10, b: 0.050000 
x: -0.23, y: -0.08, b: 0.050000 
x: -0.23, y: -0.06, b: 0.050000 
x: -0.23, y: -0.04, b: 0.050000 
x: -0.23, y: -0.02, b: 0.050000 
x: -0.23, y: 0.00, b: 0.050000 
x: -0.23, y: 0.02, b: 0.050000 
x: -0.23, y: 0.04, b: 0.050000 
x: -0.23, y: 0.06, b: 0.050000 
x: -0.23, y: 0.08, b: 0.050000 
x: -0.23, y: 0.10, b: 0.058260 
x: -0.22, y: -0.12, b: 0.050000 
x: -0.22, y: -0.10, b: 0.050000 
x: -0.22, y: -0.08, b: 0.050000 
x: -0.22, y: -0.06, b: 0.050000 
x: -0.22, y: -0.04, b: 0.050000 
x: -0.22, y: -0.02, b: 0.050000 
x: -0.22, y: 0.00, b: 0.050000 
x: -0.22, y: 0.02, b: 0.050000 
x: -0.22, y: 0.04, b: 0.050000 
x: -0.22, y: 0.06, b: 0.050000 
x: -0.22, y: 0.08, b: 0.050000 
x: -0.22, y: 0.10, b: 0.050000 
x: -0.22, y: 0.12, b: 0.124303 
x: -0.21, y: -0.14, b: 0.050000 
x: -0.21, y: -0.12, b: 0.050000 
x: -0.21, y: -0.10, b: 0.050000 
x: -0.21, y: -0.08, b: 0.050000 
x: -0.21, y: -0.06, b: 0.050000 
x: -0.21, y: -0.04, b: 0.050000 
x: -0.21, y: -0.02, b: 0.050000 
x: -0.21, y: 0.00, b: 0.050000 
x: -0.21, y: 0.02, b: 0.050000 
x: -0.21, y: 0.04, b: 0.050000 
